,epoch,AP
dla_1x_color,110.0,0.4605692119439123
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4,46.0,0.6565650565684181
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4_wd35-45,46.0,0.6284840819029559
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4_wd40-47,50.0,0.650880168724333
dla_1x_color_finetune_bs16_mb8_lr5e-3,8.0,0.00176687204971377
dla_1x_color_finetune_bs16_mb8_lr5e-4,8.0,0.5992007926748132
dla_1x_color_finetune_bs16_mb8_lr5e-5,10.0,0.5652351964228554
dla_1x_color_finetune_bs32_mb8_lr5e-3,2.0,0.0015996214005241597
dla_1x_color_finetune_bs32_mb8_lr5e-4,10.0,0.6003505654823598
dla_1x_color_finetune_bs32_mb8_lr5e-5,10.0,0.5517406486422165
dla_1x_color_finetune_bs56_mb8_lr5e-3,2.0,0.0029113631387729564
dla_1x_color_finetune_bs56_mb8_lr5e-4,6.0,0.6090353501379318
dla_1x_color_finetune_bs56_mb8_lr5e-5,10.0,0.525007397868969
dla_1x_color_finetune_bs8_mb8_lr5e-3,10.0,5.692853011128012e-05
dla_1x_color_finetune_bs8_mb8_lr5e-4,4.0,0.5867856369602663
dla_1x_color_finetune_bs8_mb8_lr5e-5,8.0,0.5703923000097552
dla_1x_thermal,120.0,0.4850158868435416
dla_1x_thermal_finetune_30e,40.0,0.6691547619051058
dla_1x_thermal_finetune_50e_bs16_lr5e-4,44.0,0.6700736462186416
dla_1x_thermal_finetune_50e_bs16_lr5e-4_wd35-45,40.0,0.6685379516673349
dla_1x_thermal_finetune_50e_bs16_lr5e-4_wd40-48,22.0,0.6528667785467116
dla_1x_thermal_finetune_50e_wd35-45,40.0,0.6631924068424017
dla_1x_thermal_finetune_50e_wd40-47,43.0,0.6692748557956444
dla_1x_thermal_finetune_5e-3,7.0,0.4166835038838318
dla_1x_thermal_finetune_5e-4,9.0,0.5264210969146326
dla_1x_thermal_finetune_5e-5,7.0,0.5145299442682033
dla_1x_thermal_finetune_5e-6,1.0,0.4548806281913447
dla_1x_thermal_finetune_bs16_mb8_lr5e-3,6.0,0.002186405066856937
dla_1x_thermal_finetune_bs16_mb8_lr5e-4,10.0,0.6170570948214523
dla_1x_thermal_finetune_bs16_mb8_lr5e-5,10.0,0.5584690661533436
dla_1x_thermal_finetune_bs32_mb8_lr5e-3,2.0,0.0888985666702731
dla_1x_thermal_finetune_bs32_mb8_lr5e-4,10.0,0.591345560409581
dla_1x_thermal_finetune_bs32_mb8_lr5e-5,10.0,0.5380336629596418
dla_1x_thermal_finetune_bs8_mb8_lr5e-3,8.0,0.0011940584261924759
dla_1x_thermal_finetune_bs8_mb8_lr5e-4,10.0,0.6088637391017522
dla_1x_thermal_finetune_bs8_mb8_lr5e-5,8.0,0.5501312806204839
dla_3x_gray,285.0,0.5363227611435776
dla_3x_gray_finetune,36.0,0.692204642403247
hg_1x_color,40.0,0.4705567265553323
