,epoch,AR
dla_1x_color,130.0,0.5624999999999999
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4,46.0,0.7514285714285714
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4_wd35-45,48.0,0.73
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4_wd40-47,48.0,0.7442857142857143
dla_1x_color_finetune_bs16_mb8_lr5e-3,8.0,0.031071428571428573
dla_1x_color_finetune_bs16_mb8_lr5e-4,8.0,0.71
dla_1x_color_finetune_bs16_mb8_lr5e-5,10.0,0.6735714285714286
dla_1x_color_finetune_bs32_mb8_lr5e-3,2.0,0.034999999999999996
dla_1x_color_finetune_bs32_mb8_lr5e-4,10.0,0.7124999999999999
dla_1x_color_finetune_bs32_mb8_lr5e-5,10.0,0.6485714285714286
dla_1x_color_finetune_bs56_mb8_lr5e-3,2.0,0.062142857142857146
dla_1x_color_finetune_bs56_mb8_lr5e-4,10.0,0.7096428571428571
dla_1x_color_finetune_bs56_mb8_lr5e-5,10.0,0.6289285714285714
dla_1x_color_finetune_bs8_mb8_lr5e-3,8.0,0.008214285714285714
dla_1x_color_finetune_bs8_mb8_lr5e-4,6.0,0.6989285714285713
dla_1x_color_finetune_bs8_mb8_lr5e-5,8.0,0.6821428571428572
dla_1x_thermal,120.0,0.5817857142857144
dla_1x_thermal_finetune_30e,49.0,0.7521428571428572
dla_1x_thermal_finetune_50e_bs16_lr5e-4,24.0,0.7492857142857143
dla_1x_thermal_finetune_50e_bs16_lr5e-4_wd35-45,48.0,0.7553571428571428
dla_1x_thermal_finetune_50e_bs16_lr5e-4_wd40-48,22.0,0.7539285714285715
dla_1x_thermal_finetune_50e_wd35-45,40.0,0.7578571428571429
dla_1x_thermal_finetune_50e_wd40-47,40.0,0.7510714285714285
dla_1x_thermal_finetune_5e-3,7.0,0.5260714285714285
dla_1x_thermal_finetune_5e-4,9.0,0.6174999999999999
dla_1x_thermal_finetune_5e-5,9.0,0.6167857142857143
dla_1x_thermal_finetune_5e-6,1.0,0.5553571428571428
dla_1x_thermal_finetune_bs16_mb8_lr5e-3,4.0,0.02035714285714286
dla_1x_thermal_finetune_bs16_mb8_lr5e-4,10.0,0.72
dla_1x_thermal_finetune_bs16_mb8_lr5e-5,10.0,0.6728571428571428
dla_1x_thermal_finetune_bs32_mb8_lr5e-3,2.0,0.1732142857142857
dla_1x_thermal_finetune_bs32_mb8_lr5e-4,10.0,0.7082142857142857
dla_1x_thermal_finetune_bs32_mb8_lr5e-5,10.0,0.6453571428571429
dla_1x_thermal_finetune_bs8_mb8_lr5e-3,8.0,0.0075000000000000015
dla_1x_thermal_finetune_bs8_mb8_lr5e-4,10.0,0.7153571428571428
dla_1x_thermal_finetune_bs8_mb8_lr5e-5,8.0,0.6717857142857142
dla_3x_gray,285.0,0.6203571428571429
dla_3x_gray_finetune,36.0,0.767857142857143
hg_1x_color,40.0,0.5696428571428572
hg_1x_color_finetune_20e,20.0,0.7592857142857142
hg_1x_color_finetune_20e_wd10-17,20.0,0.7585714285714287
hg_1x_color_finetune_20e_wd15-18,18.0,0.7585714285714287
hg_1x_color_finetune_bs16_mb4_lr2.5e-3,3.0,0.6096428571428572
hg_1x_color_finetune_bs16_mb4_lr2.5e-4,5.0,0.7382142857142857
hg_1x_color_finetune_bs16_mb4_lr2.5e-5,5.0,0.6425
hg_1x_color_finetune_bs24_mb4_lr2.5e-3,4.0,0.5821428571428571
hg_1x_color_finetune_bs24_mb4_lr2.5e-4,5.0,0.7342857142857143
hg_1x_color_finetune_bs24_mb4_lr2.5e-5,5.0,0.6342857142857143
hg_1x_color_finetune_bs4_mb4_lr2.5e-3,2.0,0.4367857142857143
hg_1x_color_finetune_bs4_mb4_lr2.5e-4,5.0,0.7353571428571428
hg_1x_color_finetune_bs4_mb4_lr2.5e-5,5.0,0.6717857142857143
hg_1x_color_finetune_bs8_mb4_lr2.5e-3,5.0,0.5453571428571429
hg_1x_color_finetune_bs8_mb4_lr2.5e-4,5.0,0.74
hg_1x_color_finetune_bs8_mb4_lr2.5e-5,5.0,0.6782142857142858
hg_1x_thermal,50.0,0.5814285714285715
hg_1x_thermal_finetune_20e,12.0,0.7571428571428571
hg_1x_thermal_finetune_20e_wd10-17,18.0,0.7607142857142857
hg_1x_thermal_finetune_20e_wd15-18,20.0,0.7635714285714286
hg_1x_thermal_finetune_30e_wd15-18,26.0,0.7632142857142857
hg_1x_thermal_finetune_bs16_mb4_lr2.5e-3,4.0,0.6000000000000001
hg_1x_thermal_finetune_bs16_mb4_lr2.5e-4,5.0,0.7407142857142857
hg_1x_thermal_finetune_bs16_mb4_lr2.5e-5,5.0,0.6432142857142857
hg_1x_thermal_finetune_bs24_mb4_lr2.5e-3,5.0,0.6403571428571428
hg_1x_thermal_finetune_bs24_mb4_lr2.5e-4,5.0,0.7267857142857143
hg_1x_thermal_finetune_bs24_mb4_lr2.5e-5,5.0,0.6321428571428572
hg_1x_thermal_finetune_bs4_mb4_lr2.5e-3,4.0,0.3496428571428572
hg_1x_thermal_finetune_bs4_mb4_lr2.5e-4,3.0,0.7178571428571429
hg_1x_thermal_finetune_bs4_mb4_lr2.5e-5,5.0,0.6475
hg_1x_thermal_finetune_bs8_mb4_lr2.5e-3,4.0,0.5514285714285714
hg_1x_thermal_finetune_bs8_mb4_lr2.5e-4,4.0,0.7446428571428572
hg_1x_thermal_finetune_bs8_mb4_lr2.5e-5,5.0,0.6525000000000001
hrnet_32_color,95.0,0.6082142857142857
hrnet_32_thermal,95.0,0.5942857142857143
