Backbone,COCO format,Epochs,Lr initial,Lr step,Batch Size,Best AP,Best AP epoch,Best AR,Best AR epoch
DLA,gray,10,0.005,0,8,0.0012,8,0.0075,8
DLA,gray,10,0.005,0,16,0.0022,6,0.0204,4
DLA,gray,10,0.005,0,32,0.0889,2,0.1732,2
DLA,gray,10,0.005,0,56,0.4167,7,0.5261,7
DLA,gray,10,0.0005,0,8,0.6089,10,0.7154,10
DLA,gray,10,0.0005,0,16,0.6171,10,0.72,10
DLA,gray,10,0.0005,0,32,0.5913,10,0.7082,10
DLA,gray,10,0.0005,0,56,0.5264,9,0.6175,9
DLA,gray,10,0.00005,0,8,0.5501,8,0.6718,8
DLA,gray,10,0.00005,0,16,0.5585,10,0.6729,10
DLA,gray,10,0.00005,0,32,0.538,10,0.6454,10
DLA,gray,10,0.00005,0,56,0.5145,7,0.6168,9
DLA,gray,50,0.0005,50,16,0.6701,44,0.7493,24
DLA,gray,50,0.0005,"[35,45]",16,0.6685,40,0.7554,48
DLA,gray,50,0.0005,"[40,48]",16,0.6529,22,0.7539,22
DLA,color,10,0.005,0,8,0.0001,10,0.0082,8
DLA,color,10,0.005,0,16,0.0018,8,0.0311,8
DLA,color,10,0.005,0,32,0.0016,2,0.035,2
DLA,color,10,0.005,0,56,0.0029,2,0.0621,2
DLA,color,10,0.0005,0,8,0.5868,4,0.6989,6
DLA,color,10,0.0005,0,16,0.5992,8,0.71,8
DLA,color,10,0.0005,0,32,0.6004,10,0.7125,10
DLA,color,10,0.0005,0,56,0.609,6,0.7096,10
DLA,color,10,0.00005,0,8,0.5704,8,0.6821,8
DLA,color,10,0.00005,0,16,0.5652,10,0.6736,10
DLA,color,10,0.00005,0,32,0.5517,10,0.6486,10
DLA,color,10,0.00005,0,56,0.525,10,0.6289,10
DLA,color,50,0.0005,0,32,0.6566,46,0.7514,46
DLA,color,50,0.0005,"[35,45]",32,0.6285,46,0.73,48
DLA,color,50,0.0005,"[40,47]",32,0.6509,50,0.7443,48
Hourglass,gray,5,0.0025,0,4,0.2099,2,0.3496,4
Hourglass,gray,5,0.0025,0,8,0.4399,4,0.5514,4
Hourglass,gray,5,0.0025,0,16,0.5071,5,0.6,4
Hourglass,gray,5,0.0025,0,24,0.5352,5,0.6404,5
Hourglass,gray,5,0.00025,0,4,0.5972,3,0.7179,3
Hourglass,gray,5,0.00025,0,8,0.6524,4,0.7446,4
Hourglass,gray,5,0.00025,0,16,0.6396,5,0.7407,5
Hourglass,gray,5,0.00025,0,24,0.637,4,0.7268,5
Hourglass,gray,5,0.000025,0,4,0.5419,4,0.6475,5
Hourglass,gray,5,0.000025,0,8,0.5519,5,0.6525,5
Hourglass,gray,5,0.000025,0,16,0.5416,5,0.6432,5
Hourglass,gray,5,0.000025,0,24,0.533,5,0.6321,5
Hourglass,gray,20,0.00025,0,8,0.6544,12,0.7571,12
Hourglass,gray,20,0.00025,"[10,17]",8,0.6719,18,0.7607,18
Hourglass,gray,20,0.00025,"[15,18]",8,0.6723,20,0.7636,20
Hourglass,color,5,0.0025,0,4,0.3244,2,0.4368,2
Hourglass,color,5,0.0025,0,8,0.4205,5,0.5454,5
Hourglass,color,5,0.0025,0,16,0.4802,3,0.6096,3
Hourglass,color,5,0.0025,0,24,0.4775,4,0.5821,4
Hourglass,color,5,0.00025,0,4,0.6308,5,0.7354,5
Hourglass,color,5,0.00025,0,8,0.6376,5,0.74,5
Hourglass,color,5,0.00025,0,16,0.6386,5,0.7382,5
Hourglass,color,5,0.00025,0,24,0.6421,5,0.7343,5
Hourglass,color,5,0.000025,0,4,0.5572,4,0.6718,5
Hourglass,color,5,0.000025,0,8,0.5832,5,0.6782,5
Hourglass,color,5,0.000025,0,16,0.56,5,0.6425,4
Hourglass,color,5,0.000025,0,24,0.5427,5,0.6343,5
Hourglass,color,20,0.00025,0,16,0.6677,20,0.7593,20
Hourglass,color,20,0.00025,"[10,17]",16,0.6627,20,0.7586,20
Hourglass,color,20,0.00025,"[15,18]",16,0.6699,12,0.7586,18
HRNet,gray,10,0.0001,0,4,0.6053,10,0.7132,10
HRNet,gray,10,0.0001,0,8,0.5877,9,0.6979,10
HRNet,gray,10,0.0001,0,12,0.5767,8,0.68,10
HRNet,gray,10,0.0001,0,16,0.5914,9,0.6825,8
HRNet,gray,10,0.001,0,4,0.5757,8,0.7136,7
HRNet,gray,10,0.001,0,8,0.6263,5,0.7379,7
HRNet,gray,10,0.001,0,12,0.6218,6,0.7414,7
HRNet,gray,10,0.001,0,16,0.5924,3,0.7379,7
HRNet,gray,10,0.01,0,4,0.1381,5,0.2432,5
HRNet,gray,10,0.01,0,8,0.276,6,0.375,6
HRNet,gray,10,0.01,0,12,0.1755,10,0.2754,10
HRNet,gray,10,0.01,0,16,0.1899,10,0.3114,10
HRNet,gray,50,0.001,0,8,0.6263,5,0.7379,7
HRNet,gray,50,0.001,"[35,45]",8,,,,
HRNet,gray,50,0.001,"[40,48]",8,,,,
HRNet,color,10,0.0001,0,4,0.609,10,0.7161,10
HRNet,color,10,0.0001,0,8,0.5918,7,0.6964,10
HRNet,color,10,0.0001,0,12,0.6002,7,0.6982,10
HRNet,color,10,0.0001,0,16,0.6103,10,0.6939,10
HRNet,color,10,0.001,0,4,0.6042,10,0.725,9
HRNet,color,10,0.001,0,8,0.6277,7,0.7368,7
HRNet,color,10,0.001,0,12,0.6121,3,0.7339,9
HRNet,color,10,0.001,0,16,0.6212,9,0.7339,9
HRNet,color,10,0.01,0,4,0.1192,9,0.1979,9
HRNet,color,10,0.01,0,8,0.1921,10,0.3464,10
HRNet,color,10,0.01,0,12,0.2101,10,0.3179,10
HRNet,color,10,0.01,0,16,0.4167,10,0.5004,10
HRNet,color,50,1.00E-03,0,8,0.6277,7,0.7368,7
HRNet,color,50,1.00E-03,"[35,45]",8,0.5838266139,50,0.7114285714,50
HRNet,color,50,1.00E-03,"[40,48]",8,0.5763016283,50,0.7089285714,50
